recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic
001,NA,NA,NA,NA,Pork,6,High
002,35.48,38.56,0.66,0.92,Potato,4,High
003,914.28,42.68,3.09,2.88,Breakfast,1,NA
004,97.03,30.56,38.63,0.02,Beverages,4,High
005,27.05,1.85,0.8,0.53,Beverages,4,NA
006,691.15,3.46,1.65,53.93,One Dish Meal,2,High
007,183.94,47.95,9.75,46.71,Chicken Breast,4,NA
008,299.14,3.17,0.4,32.4,Lunch/Snacks,4,NA
009,538.52,3.78,3.37,3.79,Pork,6,High
010,248.28,48.54,3.99,113.85,Chicken,2,NA
011,170.12,17.63,4.1,0.91,Beverages,1,NA
012,155.8,8.27,9.78,11.55,Breakfast,6,NA
013,274.63,23.49,1.56,2.57,Potato,4,High
014,25.23,11.51,10.32,9.57,Vegetable,4,High
015,217.14,6.69,10,15.17,Meat,4,High
016,316.45,2.65,4.68,79.71,Meat,6,High
017,454.27,1.87,2.95,61.07,Meat,2,High
018,1695.82,0.1,0.39,33.17,Meat,1,High
019,1090.75,4.65,0.69,3.49,Meat,6,High
020,127.55,27.55,1.51,8.91,Chicken,2,NA
021,9.26,17.44,8.16,10.81,Potato,6,High
022,40.53,87.91,104.91,11.93,Dessert,4,NA
023,82.73,3.17,7.95,26.04,Breakfast,4,NA
024,NA,NA,NA,NA,Meat,2,NA
025,1161.49,1.53,8.88,12.57,Breakfast,1,High
026,56.29,22.35,11.38,34.79,One Dish Meal,4,High
027,411.16,51.7,27.78,70.3,Pork,2,High
028,574.75,13.12,1.84,13.85,Potato,4,High
029,595.39,62.67,2.64,4.96,Potato,2,High
030,164.76,33.58,17.87,220.14,One Dish Meal,2,High
031,215.98,52.66,6.25,32.32,Pork,2,High
032,617.11,23.1,32.83,45.89,Breakfast,6,NA
033,347.06,9.5,5.92,82.58,Chicken Breast,4,NA
034,497.17,1.47,1.51,2.97,Lunch/Snacks,6,High
035,575.63,20.71,0.2,6.24,Breakfast,6,High
036,796.89,29.1,9.63,2.28,Lunch/Snacks,2,NA
037,1321.78,70.07,7.75,19.51,Breakfast,1,NA
038,44.55,99.82,2.62,15.57,Breakfast,4,NA
039,264.62,1.5,18.44,32.62,Chicken Breast,4,NA
040,44.81,4.62,0.4,5.9,Vegetable,4,High
041,621.54,14.16,10.7,39.69,Chicken Breast,6,High
042,290.1,4.43,1.05,40.64,Breakfast,4,NA
043,576.89,4.79,20.92,4.29,One Dish Meal,2,NA
044,262.12,17.46,0.33,87.05,Chicken Breast,4,NA
045,64.29,16.95,0.77,11.2,Breakfast,1,NA
046,83.39,13.06,1.62,3.44,Vegetable,6,High
047,69.01,39.17,39.54,0.17,Beverages,4,NA
048,43.91,48.16,4.58,7.92,Breakfast,4,NA
049,NA,NA,NA,NA,Chicken Breast,4,NA
050,1724.25,45.52,0.07,49.37,Breakfast,1,High
051,293.36,19.16,9.4,1.32,Pork,2,NA
052,1279.53,19.56,1.08,18.2,Pork,4,High
053,367.3,89.84,6.96,73.35,Chicken,2,NA
054,74.56,47.47,16.36,45.15,Pork,4,High
055,131.51,33.32,1.7,87.11,Pork,6,High
056,2122.24,25.99,0.52,81.37,Pork,1,High
057,47.17,60.93,13.82,10.8,Vegetable,4,High
058,191.78,9.17,0.65,66.69,Chicken Breast,1,NA
059,6.23,56.43,5.6,2.12,Lunch/Snacks,6,High
060,384.93,74.38,76.53,2.17,Dessert,2,NA
061,616.95,69.45,7.77,3.12,Dessert,4,High
062,187.87,55.51,9.99,86.09,One Dish Meal,4,NA
063,160.05,42.45,1.6,44.38,One Dish Meal,2,High
064,813.08,88.55,0.47,136.89,Chicken,1,High
065,566.2,1.72,2.54,4.24,Meat,4,High
066,260.33,0.51,1.24,4.53,Dessert,1,NA
067,61.78,13.87,10.68,0.72,Beverages,2,NA
068,717.72,71.21,14.02,7.1,Breakfast,4,NA
069,1105.15,6.63,3.79,71.51,Chicken Breast,1,NA
070,799.39,23.14,3.33,19.75,One Dish Meal,1,NA
071,100,95.89,10.2,114.6,Lunch/Snacks,4,NA
072,2508.47,18.11,10.6,84.23,Chicken,4,NA
073,38.22,13.09,3.8,2.09,Beverages,1,NA
074,288.6,10.5,8.83,102.53,One Dish Meal,4,NA
075,320.57,83.79,16.24,2.07,Dessert,1,High
076,767.16,24.76,0.57,31.07,Potato,4,High
077,557.66,36.78,3,19.55,One Dish Meal,1,High
078,65.52,2.67,0.07,0.51,Dessert,2,NA
079,791.49,98.51,5.8,91.51,Breakfast,1,NA
080,19.91,35.47,2.17,11.82,Breakfast,1,High
081,81.56,33.08,2.34,11.2,Breakfast,4,High
082,65.69,7.99,9.23,14.52,Breakfast,4,High
083,NA,NA,NA,NA,Meat,4,High
084,886.47,78.02,16.39,2.37,Breakfast,2,NA
085,85.17,29.96,0.57,5.24,Chicken,2,High
086,662.78,47.61,4.08,2.39,Meat,1,High
087,113.03,23.45,0.47,62.08,Meat,4,High
088,374.27,74.16,5.91,0.38,Lunch/Snacks,2,NA
089,193.17,4.49,3.01,46.9,Breakfast,4,High
090,NA,NA,NA,NA,Pork,6,High
091,388.37,13.67,11.13,2.67,Breakfast,6,NA
092,106.87,0.88,7.28,5.67,Vegetable,4,High
093,34.77,10.48,12.33,8.63,Breakfast,6,NA
094,113.84,37.57,1.21,21.31,Chicken Breast,4,NA
095,826.83,145.32,6.48,3.04,Potato,4,High
096,356.64,1.24,54.47,0.48,Beverages,4,NA
097,88.57,14.31,47.32,5.67,Dessert,1,High
098,2081.69,8.09,4.78,28.48,One Dish Meal,2,High
099,131.8,29.18,5.85,8.42,Breakfast,2,High
100,672.26,88.81,6.31,20.89,Lunch/Snacks,2,NA
101,266.41,58.44,4.19,10.96,Chicken,4,NA
102,198.98,87.68,0.39,39.12,Vegetable,4,High
103,165.2,8.24,0.4,2.5,Chicken Breast,4,NA
104,1075.91,3.67,15.1,45.62,Meat,4,High
105,413.67,20.8,5.75,54.13,Breakfast,1,NA
106,396.37,16.85,2.48,0.27,Beverages,1,High
107,766.01,9.43,0.82,66.71,Meat,1,NA
108,196.68,2.28,9.12,2.17,Vegetable,1,High
109,612.64,38.55,10.06,5.65,Dessert,6,High
110,161.32,32.21,7.15,6.09,Lunch/Snacks,4,High
111,46.99,24.72,2.13,10.8,Breakfast,4,NA
112,409.66,31.32,13.83,29.86,Meat,1,High
113,719.02,49.37,1.22,5.72,Potato,4,High
114,76.77,48.84,22.95,4.88,Meat,2,High
115,177.84,10.67,2.21,3.02,Lunch/Snacks,2,High
116,26.76,5.17,2.39,4.45,Vegetable,4,High
