BBDD;Variable;Dest;Name;ES;BE;DE;FR;IT;NL;SE;UK;US
Main;;;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo
Main;ID;;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid
Main;age;;age;age_rc;profile_julesage;profile_julesage;profile_julesage;age_rc;profile_julesage;profile_julesage;profile_julesage;age
Main;gender;;gender;gender;gender;gender;gender;gender;gender;gender;profile_gender;gender
Main;residence_region;;region;Nielsen_Area_ES_MR;GeoPC_Region1_be;nielsenregion;Grouped_Region_2014;region_grouped_IT;GeoPC_Region1_nl;region;profile_GOR;region
Main;income;;income;income_es_rc;UB_income_BE;hinc;income;profile_gross_household_EU;profile_gross_household_EU;household_income;profile_gross_household;profile_gross_household
Main;income_level;;income_level;income_hml_es;income_hml_be;income_hml_de;income_hml_fr;income_hml_it;income_hml_nl;income_hml_se;income_hml_uk;income_hml_us
Main;aided;;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb
Main;current_own;;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb
Main;ever_own;;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb
Main;consider;;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb
Main;inmarket;;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb
Respostes_regions;;0;aided_1;aided_1;aided_1;aided_1;aided_1;aided_1;aided_1;aided_1;aided_1;aided_1
Respostes_regions;;1;aided_2;aided_2;aided_2;aided_2;aided_2;aided_2;aided_2;aided_2;aided_2;aided_2
Respostes_regions;;2;aided_3;aided_3;aided_3;aided_3;aided_3;aided_3;aided_3;aided_3;aided_3;aided_3
Respostes_regions;;3;aided_4;aided_4;aided_4;aided_4;aided_4;aided_4;aided_4;aided_4;aided_4;aided_4
Respostes_regions;;4;aided_5;aided_5;aided_5;aided_5;aided_5;aided_5;aided_5;aided_5;aided_5;aided_5
Respostes_regions;;5;aided_6;aided_6;aided_6;aided_6;aided_6;aided_6;aided_6;aided_6;aided_6;aided_6
Respostes_regions;;6;aided_7;aided_7;aided_7;aided_7;aided_7;aided_7;aided_7;aided_7;aided_7;aided_7
Respostes_regions;;7;aided_8;aided_8;aided_8;aided_8;aided_8;aided_8;aided_8;aided_8;aided_8;aided_8
Respostes_regions;;8;aided_9;aided_9;aided_9;aided_9;aided_9;aided_9;aided_9;aided_9;aided_9;aided_9
Respostes_regions;;9;aided_10;aided_10;aided_10;aided_10;aided_10;aided_10;aided_10;aided_10;aided_10;aided_10
Respostes_regions;;10;aided_11;aided_11;aided_11;aided_11;aided_11;aided_11;aided_11;aided_11;aided_11;aided_11
Respostes_regions;;11;aided_12;aided_12;aided_12;aided_12;aided_12;aided_12;aided_12;aided_12;aided_12;aided_12
Respostes_regions;;12;aided_13;aided_13;aided_13;aided_13;aided_13;aided_13;aided_13;aided_13;aided_13;aided_13
Respostes_regions;;13;aided_14;aided_14;aided_14;aided_14;aided_14;aided_14;aided_14;aided_14;aided_14;aided_14
Respostes_regions;;14;aided_15;aided_15;aided_15;aided_15;aided_15;aided_15;aided_15;aided_15;aided_15;aided_15
Respostes_regions;;15;aided_16;aided_16;aided_16;aided_16;aided_16;aided_16;aided_16;aided_16;aided_16;aided_16
Respostes_regions;;16;aided_17;aided_17;aided_17;aided_17;aided_17;aided_17;aided_17;aided_17;aided_17;aided_17
